"学名","汉语名","英名","西班牙名","记录数","百分比"
"Myiomela leucura","白尾蓝地鸲","White-tailed Robin","Ruiseñor coliblanco","9","0.21"
"Buceros bicornis","双角犀鸟","Great Hornbill","Cálao bicorne","9","0.21"
"Actinodura egertoni","锈额斑翅鹛","Rusty-fronted Barwing","Sibia de Egerton","9","0.21"
"Chloris ambigua","黑头金翅雀","Black-headed Greenfinch","Verderón cabecinegro","9","0.21"
"Heterophasia picaoides","长尾奇鹛","Long-tailed Sibia","Sibia colilarga","9","0.21"
"Heterophasia pulchella","丽色奇鹛","Beautiful Sibia","Sibia bonita","9","0.21"
"Acridotheres tristis","家八哥","Common Myna","Miná común","9","0.21"
"Tetraophasis szechenyii","黄喉雉鹑","Szechenyi's Monal-Partridge","Perdiz faisán gorjiclara","9","0.21"
"Alophoixus pallidus","白喉冠鹎","Puff-throated Bulbul","Bulbul pálido","9","0.21"
"Ficedula westermanni","小斑姬鹟","Little Pied Flycatcher","Papamoscas pío","9","0.21"
"Zosterops palpebrosus","灰腹绣眼鸟","Indian White-eye","Anteojitos oriental","9","0.21"
"Iole propinqua","灰眼短脚鹎","Grey-eyed Bulbul","Bulbul ojigrís","9","0.21"
"Sterna aurantia","黄嘴河燕鸥","River Tern","Charrán indio","9","0.21"
"Syrmaticus reevesii","白冠长尾雉","Reeves's Pheasant","Faisán venerado","9","0.21"
"Ficedula strophiata","橙胸姬鹟","Rufous-gorgeted Flycatcher","Papamoscas gorjirrojo","9","0.21"
"Phoenicurus auroreus","北红尾鸲","Daurian Redstart","Colirrojo dáurico","9","0.21"
"Chrysophlegma flavinucha","大黄冠啄木鸟","Greater Yellownape","Pito nuquigualdo","9","0.21"
"Nycticorax nycticorax","夜鹭","Black-crowned Night Heron","Martinete común","9","0.21"
"Ninox scutulata","鹰鸮","Brown Boobook","Nínox pardo","9","0.21"
"Psittacula alexandri","绯胸鹦鹉","Red-breasted Parakeet","Cotorra pechirroja","8","0.19"
"Otus lettia","领角鸮","Collared Scops Owl","Autillo chino","8","0.19"
"Phylloscopus inornatus","黄眉柳莺","Yellow-browed Warbler","Mosquitero bilistado","8","0.19"
"Nyctyornis athertoni","蓝须夜蜂虎","Blue-bearded Bee-eater","Abejaruco barbiazul","8","0.19"
"Monticola rufiventris","栗腹矶鸫","Chestnut-bellied Rock Thrush","Roquero ventrirrufo","8","0.19"
"Parus cinereus","苍背山雀","Cinereous Tit","Carbonero indio","8","0.19"
"Pucrasia macrolopha","勺鸡","Koklass Pheasant","Faisán koklas","8","0.19"
"Trochalopteron elliotii","橙翅噪鹛","Elliot's Laughingthrush","Charlatán de Elliot","8","0.19"
"Aegithina tiphia","黑翅雀鹎","Common Iora","Iora común","8","0.19"
"Phalacrocorax carbo","普通鸬鹚","Great Cormorant","Cormorán grande","8","0.19"
"Rhopodytes tristis",NULL,NULL,NULL,"7","0.17"
"Yungipicus canicapillus","星头啄木鸟","Grey-capped Pygmy Woodpecker","Pico crestigrís","7","0.17"
"Emberiza godlewskii","灰眉岩鹀","Godlewski's Bunting","Escribano de Godlewski","7","0.17"
"Tringa totanus","红脚鹬","Common Redshank","Archibebe común","7","0.17"
"Arborophila brunneopectus","褐胸山鹧鸪","Bar-backed Partridge","Arborófila pechiparda","7","0.17"
"Arborophila rufipectus","四川山鹧鸪","Sichuan Partridge","Arborófila de Sichuán","7","0.17"
"Phylloscopus pulcher","橙斑翅柳莺","Buff-barred Warbler","Mosquitero elegante","7","0.17"
"Minla strigula",NULL,NULL,NULL,"7","0.17"
"Dicaeum ignipectus","红胸啄花鸟","Fire-breasted Flowerpecker","Picaflores pechofuego","7","0.17"
"Psarisomus dalhousiae","长尾阔嘴鸟","Long-tailed Broadbill","Eurilaimo lorito","7","0.17"
"Tropicoperdix chloropus","绿脚树鹧鸪","Green-legged Partridge","Arborófila pativerde","7","0.17"
"Buteo japonicus","普通鵟","Eastern Buzzard","Busardo japonés","7","0.17"
"Gyps himalayensis","高山兀鹫","Himalayan Vulture","Buitre del Himalaya","7","0.17"
"Pica serica","喜鹊","Oriental Magpie","Urraca oriental","7","0.17"
"Garrulax monileger","小黑领噪鹛","Lesser Necklaced Laughingthrush","Charlatán acollarado chico","7","0.17"
"Picumnus innominatus","斑姬啄木鸟","Speckled Piculet","Carpinterito moteado","7","0.17"
"Glaucidium brodiei",NULL,NULL,NULL,"7","0.17"
"Garrulax pectoralis",NULL,NULL,NULL,"7","0.17"
"Passer domesticus","家麻雀","House Sparrow","Gorrión común","7","0.17"
"Pericrocotus roseus","粉红山椒鸟","Rosy Minivet","Minivet rosado","7","0.17"
"Strix nivicolum","灰林鸮","Himalayan Owl","Cárabo del Himalaya","7","0.17"
"Abroscopus superciliaris","黄腹鹟莺","Yellow-bellied Warbler","Mosquitero cejiblanco","7","0.17"
"Anthreptes malacensis","褐喉食蜜鸟","Brown-throated Sunbird","Suimanga gorjipardo","7","0.17"
"Abroscopus schisticeps","黑脸鹟莺","Black-faced Warbler","Mosquitero carinegro","6","0.14"
"Anser anser","灰雁","Greylag Goose","Ánsar común","6","0.14"
"Anser cygnoides","鸿雁","Swan Goose","Ánsar cisnal","6","0.14"
"Anthipes monileger","白喉姬鹟","White-gorgeted Flycatcher","Papamoscas gargantilla","6","0.14"
"Arachnothera longirostra","长嘴捕蛛鸟","Little Spiderhunter","Arañero chico","6","0.14"
"Arborophila atrogularis","白颊山鹧鸪","White-cheeked Partridge","Arborófila cariblanca","6","0.14"
"Aythya ferina","红头潜鸭","Common Pochard","Porrón europeo","6","0.14"
"Aythya fuligula","凤头潜鸭","Tufted Duck","Porrón moñudo","6","0.14"
"Chelidorhynx hypoxantha",NULL,NULL,NULL,"6","0.14"
"Dendrocitta formosae","灰树鹊","Grey Treepie","Urraca gris","6","0.14"
"Dicrurus macrocercus","黑卷尾","Black Drongo","Drongo real","6","0.14"
"Egretta intermedia",NULL,NULL,NULL,"6","0.14"
"Fulvetta ruficapilla","棕头雀鹛","Spectacled Fulvetta","Fulveta de Verreaux","6","0.14"
"Gampsorhynchus rufulus","白头鵙鹛","White-hooded Babbler","Timalí cabeciblanco","6","0.14"
"Garrulax cineraceus",NULL,NULL,NULL,"6","0.14"
"Geokichla citrina","橙头地鸫","Orange-headed Thrush","Zorzal citrino","6","0.14"
"Grus grus","灰鹤","Common Crane","Grulla común","6","0.14"
